P29829	Q9NFZ3
P34082	Q7KMH9
P34082	Q0KHV6
P34082	A1Z6Z9
P34082	Q9VDU2
P34082	Q9VG43
P34082	Q9VWN4
P34082	Q9W0D6
P34082	Q8SZ63
P34082	Q9GYV5
P34082	Q7KRW8
P34082	Q7K2I4
P34082	Q8IPZ2
P34082	P29844
P34082	Q8INH5
P34082	Q9V9P7
P34082	2890539
P34082	Q9V3G7
P34082	Q9VDW3
P34082	P28518
P34082	P29746
P34082	Q9VL79
P34082	Q0E9C5
P34082	P29310
P34082	Q9VPH0
P34082	Q6NR72
P34082	Q9W325
P34082	Q9VCR2
P34082	Q9VT95
P34082	Q8MSS1
P34082	Q27607
P34082	A1Z7L9
P34082	Q9VQ78
P34082	Q9VFE3
P34082	P38979
P34082	Q94920
P34082	Q8IRK0
P34082	A1Z7A6
P34082	Q86BI3
P34082	A1Z8S6
P34082	Q9VB11
P34082	A1ZBL0
P34082	Q8MLS0
P34082	Q9VC20
P34082	Q0E8T7
P34082	Q24253
P34082	P98163
P34082	Q8T4G5
P34082	A1Z867
P34082	Q8I8U7
P34082	Q9VN93
P34082	Q9VPN5
P34082	P54358
P34082	2890364
P34082	Q9VLL3
P34082	Q9VC96
P34082	Q23976
P34082	Q9VIC7
P34082	Q9VGP1
P34082	Q9VYW5
P34082	Q8IMJ2
P34082	Q94518
P34082	P26019
P34082	Q9VKP5
P34082	Q9VUE8
P34082	A1Z9J0
P34082	P91659
P34082	Q0E924
P34082	Q0E8X8
P34082	Q9VNA1
P34082	Q9VFT7
P34082	P17917
P34082	Q9VMS2
P34082	Q9VYN1
P34082	Q9W040
P34082	P10987
P34082	Q9W1L2
P34082	Q9XZ21
P34082	Q9VU29
P34082	Q9VF13
P34082	A1ZBL5
P34082	Q8IPH8
P34082	89218
P34082	A1Z7C4
P34082	Q9VB40
P34082	Q960D3
P34082	A1ZAK1
P34082	Q9W0M4
P34082	P35500
P34082	P54623
P34082	Q7KTW5
P34082	P91620
P34082	Q7KW02
P34082	Q8IRB9
P34082	Q24020
P34082	Q9VXV3
P34082	Q9VWC0
P34082	Q9VC93
P34082	Q9VWZ3
P34082	138749
P34082	Q9VIK2
P34082	P08928
P34082	O77086
P34082	Q9VGZ3
P34082	Q9VK58
P34082	Q9VIZ3
P34082	O01666
P34082	Q9VMK9
P34082	Q9W261
P34082	Q7JV23
P34082	Q86BA1
P34082	Q9VSM6
P34082	Q9VFH5
P34082	A1ZAQ4
P34082	Q9VAX9
P34082	Q9VZ45
P34082	A1Z7T0
P34082	Q9VLS7
P34082	O76899
P34082	O76922
P34082	P54399
P34082	Q9VPM0
P34082	Q9VV61
P34082	Q6XK19
P34082	A1ZBS4
P34082	P52172
P34082	A1ZAP8
P34082	Q9W083
P34082	Q9VJ42
P34082	Q9V426
P34082	A1Z9J1
P34082	Q9VIV0
P34082	Q9VMV5
P34082	Q9VWG3
P34082	Q9VG05
P34082	Q7K0X3
P34082	Q9W560
P34082	Q9W1Y0
P34082	Q7KMQ0
P34082	P18490
P34082	A1ZB86
P34082	Q9VKM6
P34082	Q9VY87
P34082	Q8IN16
P34082	Q9U969
P34082	Q9W4P5
P34082	Q01989
P34082	Q9VK42
P34082	P22700
P34082	Q9VH03
P34082	Q8IPH7
P34082	Q9I7U4
P34082	2508155
P34082	Q9VNE0
P34082	P54397
P34082	Q7KTW9
P34082	P27716
P34082	Q9VF08
P34082	Q9VE88
P34082	Q9VGB6
P34082	P06754
P34082	Q9W0T1
P34082	P11146
P34082	Q9VEB1
P34082	Q9V9N7
P34082	Q9W5A9
P34082	A1Z9E2
P34082	A1ZAE2
P34082	Q5BI50
P34082	Q9VHP9
P34082	Q9W3H6
P34082	A1ZAD3
Q8T0U6	P05661
Q8T0U6	Q9VPC0
O44437	Q9VJI7
P26675	Q08012
P29310	Q9VX75
Q9V464	P02299
Q9V464	P84040
Q24338	Q9NJG9
Q24338	P42124
Q24338	Q24572
Q95SW6	Q24572
Q24324	P11346
Q9VSS1	O02195
Q9VN25	O02195
P22769	Q9XYN7
Q7K148	P22769
P25160	P22769
P40301	O18413
O17311	Q9XYN7
P40301	O17311
Q7K1Y4	Q9VTC4
Q8IMG7	P48609
Q9VNA5	Q9VJJ0
Q9VNA5	Q9XYN7
Q9VNA5	Q9V3H2
Q9VNA5	Q7K148
P40301	Q9VNA5
Q9V436	P12881
P40301	Q9VJJ0
Q9VN50	Q9U1H8
P31007	Q8IGY2
P18053	Q9XYN7
P12881	Q9XYN7
P40301	Q9XYN7
Q7K148	Q9XYN7
Q9VG96	Q8SXQ9
Q9VG96	Q7JVI6
Q7JVZ8	Q9VG96
Q9VG96	Q9VG94
P91938	Q9V3H2
Q0E924	Q9V3H2
Q9V3H2	Q7K148
Q7KMP8	P26270
P26270	Q9V3H2
P12881	Q7K148
Q9V3H2	A5XCL5
P18053	P40301
P40301	P12881
Q5BI79	P31007
Q7K148	P40301
P31007	Q8WS23
Q9VT75	P22769
E4NKJ7	Q9VU68
P31007	P08510
P26270	Q9V436
Q9V436	Q9XYN7
Q9XYN7	Q9VJJ0
P18053	Q9VJJ0
Q960X4	P84249
Q9V464	P84249
Q9VH48	P84249
P26270	Q9VFF0
P31007	P46150
Q9VG26	P31007
Q24337	Q8SYC8
P84249	O46342
Q9VZF4	Q24337
Q9VKA2	P40301
P26270	Q9VQG0
O18413	Q9VJJ0
P48601	Q9VTQ9
P55035	P48601
P40301	Q9V5C6
Q9V5C6	Q9VK14
Q7K306	P48609
P48601	O18413
P48601	Q9VK14
Q9VCD5	P48601
Q8SZ19	O18413
Q9VK14	P18053
P40301	Q8T8V8
P23573	P08182
P11147	Q24133
O18413	Q9VTQ9
P12881	P48601
Q9V5C6	Q9VJJ0
P23573	P08181
P12881	Q8T8V8
Q8T8V8	O18413
Q7KTP7	Q9V5C6
Q24210	Q7K306
Q8IGZ0	Q24210
P92208	P48601
Q7KTP7	P40301
Q9VFS8	Q8SZ19
Q9V345	P40301
P48601	Q9V345
O18413	Q9VFS8
Q9VJJ0	Q9V345
O18413	Q9VXF9
P23573	O18640
P23573	P48555
O61443	Q7K306
Q8T0S6	O97468
O76460	P23573
P22769	Q8T6B9
P48601	P23696
Q8T6B9	P23573
O76460	O18413
P49071	A1ZA66
P23573	Q8T0S6
P31409	P23573
P48601	Q7KRR5
Q9VCD5	Q9VFS8
O46085	Q9V345
P23128	P23573
P48601	Q8SZ19
Q7KMQ0	O18413
Q9VCZ8	Q9VTE5
Q7KMQ0	P48601
Q95083	P40301
P40301	Q8SZ19
Q9VJJ0	P48601
P40301	Q9VK14
Q8IRD1	P48601
Q9VW54	P48601
O18413	Q8IRD1
P12881	Q9VJJ0
Q7KN62	P48601
Q9XYN7	Q9VK14
Q9V5C6	Q9XYN7
Q8T8V8	Q9XYN7
P40301	P48601
P12881	Q8IRD1
O18413	Q9VJ33
Q7K306	Q8T0S6
Q9VNA5	Q8T8V8
Q9XYN7	O18413
Q7K306	Q9VZF4
P23573	Q9VRS0
P45890	P48601
P49071	Q7K306
Q8IRD1	P40301
P48601	Q05825
P05661	P48601
P40301	P49071
P22058	Q24297
P22058	Q9VXE0
P22058	Q9VI10
P22058	Q9VLV5
P08630	Q9VSJ8
P11147	Q9XZC2
P11147	Q24570
P22816	P52304
Q9VI23	P52304
Q9XYZ5	P52304
Q9W461	Q9VZF4
Q9GQS3	Q9VZF4
Q9NF33	Q9VZF4
Q9U4P6	Q9VZF4
Q8MSY6	Q9VZF4
P08985	Q9VZF4
Q24186	Q9VZF4
P46223	Q9VZF4
Q9V4C7	Q9VZF4
Q8STG6	Q9VZF4
O96676	Q9VZF4
P11147	Q9VZF4
Q9VJZ5	Q9VZF4
P40320	Q9VZF4
P31009	Q9VZF4
Q0KI00	Q9VZF4
Q9VRX0	Q9VZF4
Q95S08	Q9VZF4
Q24323	Q9VZF4
O16043	Q9VZF4
P19889	Q9VZF4
Q9VZU6	Q9VZF4
Q8IHE2	Q9VZF4
Q9VQF7	Q9VZF4
Q8IR72	Q9VZF4
Q94533	Q9VZF4
Q9VZF4	Q24046
P08736	Q7YSQ1
Q8MLY8	P52304
P05661	Q27297
P11147	Q9VWE4
P05205	P42287
Q9VVT5	Q960X8
Q9Y103	Q960X8
P18091	Q960X8
Q8SXD4	Q960X8
Q960X8	Q7KLE5
Q9V595	Q960X8
Q03017	Q960X8
Q9VH60	Q960X8
Q95RP4	Q960X8
Q9VCB8	Q960X8
Q23983	Q960X8
Q9VEN1	Q960X8
Q00963	Q960X8
A1Z9J3	Q960X8
Q9VN68	Q960X8
Q9VXG4	Q960X8
Q7YU91	Q960X8
Q8SXA8	Q960X8
Q9VW47	Q960X8
P29742	Q960X8
Q9VC36	Q960X8
Q9XTL2	Q960X8
O44381	Q960X8
Q9VPL5	Q960X8
P54360	Q960X8
P48608	Q960X8
P07666	Q960X8
Q8T987	Q960X8
Q7KN74	Q960X8
Q8MSV6	Q960X8
O02373	Q960X8
Q9VM75	Q960X8
P29310	Q9XTM1
Q9VN50	Q9XTM1
P02828	Q9XTM1
Q9VDW3	Q9XTM1
P46461	O76417
O18640	O76417
P17210	Q9VWE4
Q9VZU6	P52304
Q9VRH6	Q24564
Q9VE40	P10041
Q8IR69	P10041
Q8T987	P10041
Q24478	P10041
P25159	P10041
P42282	P10041
165588	P10041
D1Z3A1	P10041
497164	P10041
Q9VEN5	P10041
Q9W4N8	P10041
Q9VZU6	P10041
Q9VBW9	P10041
Q8IQE6	P10041
Q9VJ14	P10041
O18388	P10041
P08736	P10041
P51123	P10041
Q9VD05	P10041
P06602	P10041
Q9VML8	P08630
P11147	Q9VML8
Q9VRH6	Q9VML8
P51140	Q9VML8
Q01989	Q24090
104570	P52304
Q24432	P52304
Q9VJ30	P52304
Q9W3X2	P52304
Q9VAT2	P52304
Q95RV8	P52304
Q8SZX6	P52304
P31369	P52304
Q9U8L5	P52304
Q9VVR0	P52304
Q7K3L1	P52304
Q8SYE7	P52304
P52304	Q8MSY6
P52304	Q9VX80
O18363	P52304
P51123	P52304
Q9GSZ5	P52304
Q9Y0A7	P52304
Q8SX83	P52304
Q9VH89	P52304
Q23973	P52304
Q9VQ30	P52304
Q9W3T0	P52304
O16867	P52304
O76904	P52304
Q24210	P19538
Q9VHN1	P23573
Q9VC60	P23573
Q24337	P50445
Q24337	Q7KJ69
Q24337	Q961V9
Q24337	O77430
Q24337	Q9W1J7
Q24337	Q7K306
P31007	P28518
P31007	Q9W5G0
Q9VWT7	P23573
Q8T965	P23573
Q8T965	P49657
Q7KNM2	P49762
Q86B99	P49762
P49762	Q9V3T8
Q8SYU4	O77051
Q8SYU4	Q8INB9
Q8SYU4	O97143
Q8SYU4	Q8MQJ7
Q8SYU4	Q24276
Q05856	Q9VNE1
Q05856	Q9VRQ2
Q05856	Q7K306
Q8IGW2	P08181
Q8IMG8	P08181
O46036	P16371
P29310	Q9VQQ9
P08630	Q8IGE8
Q24117	Q9VZF4
Q9VJJ8	Q9VZF4
P07713	Q9VZF4
Q95S84	Q9VZF4
P02825	Q9VZF4
Q9VUB7	Q9VZF4
Q8SXS3	Q9VZF4
Q24576	Q9VZF4
Q8MT71	Q9VZF4
Q9V3J8	Q9VZF4
Q95T12	Q8SZF1
P11346	P08645
P17210	Q9W252
P11346	P08646
P11346	O96692
O15943	Q9VND2
Q9NJH0	Q9VBI4
O18381	P51140
Q95V81	P51140
P51140	P08970
P51140	Q7K4B6
P42282	P51140
O97159	P51140
Q9VWH1	P51140
Q86BA1	P51140
Q9VVB8	P51140
Q9VUV0	P51140
P17210	Q9VSJ8
Q9VDW3	Q9VSJ8
P42282	Q95RJ9
Q95RJ9	P21461
Q95RJ9	Q27934
P29310	Q8IPH9
P29310	Q03720
Q24459	Q24338
Q24338	Q94517
Q24459	Q24572
Q94517	Q24572
Q24572	P42124
Q24572	Q9NJG9
P07207	Q9VEC1
Q03720	P12370
P00528	Q03720
P00528	P12370
Q9W4S7	Q9VZF4
P10041	P07207
P13008	Q9VIP8
P13008	Q8T0S6
P13008	P00528
Q9W4E2	Q9W2D9
O18640	Q8SXP8
Q9VM71	P19339
Q9VIT3	Q94524
Q9V9M7	Q9VIT3
Q9VB27	Q9VIT3
P11929	Q9VIT3
Q9VE56	Q9VIT3
Q9VRI1	Q9VIT3
Q9V458	Q9VIT3
P55830	Q9VIT3
Q8SY59	Q9VIT3
Q9W3L4	Q9VIT3
Q9GU68	Q9VIT3
Q9VIT3	Q9VEM7
Q9VDM7	Q9VIT3
Q9VTP4	Q9VIT3
P08736	Q9VIT3
Q9VIT3	Q7JY68
Q24186	Q9VIT3
P48592	Q9VIT3
Q02748	Q9VIT3
Q9VXX8	Q9VIT3
P23757	Q9VIT3
Q7KJA9	Q9V345
Q9VRS0	Q9VLV5
Q9VTE0	P25161
P25161	Q86B87
P23573	Q9VTX7
P23573	P40417
P23573	P13678
P23573	Q960X8
P23573	P19339
P08181	Q9VP67
P31007	Q7KTX7
P26308	Q9W1V2
P26308	P40798
P26308	Q9VP16
P08736	Q9VBS5
P52304	Q9VP79
Q9VRN0	Q9V345
Q9VTX8	A8MZR2
P08736	82584
P84249	82584
Q9VTZ0	P29310
Q05856	Q9VCD5
O02195	O77051
Q9VU68	A1ZA28
Q9VIP8	B6VQA1
Q9NJH0	Q9VIP6
Q9VYY7	Q9VU02
Q9VU02	Q9W4U0
P19339	Q7K4A8
Q9XYN7	Q9VQA6
Q9VZL3	P00528
P08736	P54611
Q95083	Q9VEA9
Q05856	Q9VU21
Q9W261	Q9VLV5
Q9VN50	Q8MQJ8
Q9I7U4	P48375
P48375	P29349
P18053	P48375
P11147	Q9VI55
Q9VNA5	Q7K2N1
O96757	P11147
Q24572	Q9W542
Q24572	Q7K159
Q24572	P04197
Q24572	A1Z9E2
Q03043	Q9VYX5
Q867Z4	Q03043
Q03043	Q9W3D6
Q24564	Q03043
Q03043	P05812
Q06559	Q03043
O18640	Q03043
Q03043	Q9VX24
Q9VXH7	Q03043
Q9VI72	P40417
P53501	P48601
P08736	Q9U1K1
Q00168	Q9VU84
Q8I0P1	Q9VRY6
P02828	Q27934
P29310	Q27934
P22769	Q27934
P49762	P19018
Q9VU77	P00528
P00528	Q7K5M2
P45884	Q9V345
Q7KLV9	Q9VG03
Q7KLV9	Q9VWD1
Q7KLV9	Q7K4X4
Q7KLV9	Q01644
Q7KLV9	Q9V345
Q9VCH7	P19339
Q8INR6	Q9V345
P54733	Q9VZF4
P17210	P46824
Q24210	Q9VDK2
Q7JVI3	Q9VAY4
O18640	Q7K4Z4
O02195	Q7K4Z4
P06742	O61443
P06742	Q7KNS3
Q9V407	Q9VL07
P08736	Q9VTU4
Q9VCA9	P00528
Q9VKQ3	Q9VG30
Q9VDE2	Q9VCZ8
O18640	Q9VDD8
P84249	A1ZAD2
O97111	P16371
P16371	Q9VWX7
Q08012	P15330
Q9VCZ8	Q08012
Q08012	P00528
P00528	Q960X4
P17210	Q9VF74
P05205	Q95RV2
P36872	Q9VX24
P16371	O77215
Q9VTE5	Q9VGP6
H1UUE3	Q9VTE5
O18640	A1Z9I0
P08630	A1Z9I0
O02195	O97365
Q24562	Q9VTC1
Q7KK54	Q7KNS3
P08630	Q7JXC4
Q7JXC4	Q24562
P05205	P45975
Q9VCZ8	Q9VVE8
P08736	P22807
P16371	Q9VDA2
Q7K0L4	Q9VWS1
O18640	Q9VCT3
P16371	Q9VT66
P08736	Q9VGP6
Q9VCP0	P00528
P08736	Q9W4E2
P08736	Q9VNS2
P17210	Q9W0R0
Q9VCY3	Q9V345
O18640	Q9VUK7
O18640	Q8SXC2
Q9VFD5	Q9VVQ1
Q9VCZ8	Q9VW56
Q9VCZ8	Q6NQZ7
Q9VCZ8	Q9VLR0
Q7JVI3	Q9VD23
O02195	P23696
O18640	A1Z7K9
O18640	P40427
O18640	Q8SX59
O18640	Q9VVC3
P29829	P36188
Q9VTQ9	Q9VFS8
Q9VHN7	Q9VFE9
Q7JVI3	Q9VVQ1
P29845	Q9VVQ1
P05205	Q9VEF0
P07665	O61443
Q9VHM5	O61443
A0AQH0	O61443
Q9W2F3	O61443
Q9VHN7	P17276
P91632	Q7JVI3
Q94516	P00528
P52029	P00528
Q9VXP3	P00528
P00528	Q95RB2
P00528	Q5U0Y0
Q9VMY1	P00528
Q24560	P00528
Q9VW52	Q24562
P17210	P21461
Q7JVI3	A1ZAC2
P49657	Q9W0F5
Q9V345	Q9VEC3
Q9VML5	Q9VHN7
P05205	Q8IQ92
O44437	Q5BI03
P29742	P48609
Q9VXM1	P48609
Q9VN50	A1Z7K9
P08736	Q9VRX7
P08736	Q9W379
P08736	Q9VFR1
P08736	Q9VXF4
A1Z6K7	Q7JVI3
Q9VN50	Q7JVI3
P16371	Q26263
Q9W1T1	P05205
P29829	Q9VH77
P23654	Q7KNS3
Q9VN42	Q7KNS3
P29845	Q9VFV9
Q9VQM4	Q9V345
Q95TJ6	Q9V345
P48605	Q9V345
Q9VXH7	Q9V345
Q9V345	Q9VYB1
O02195	Q5U0Y0
O02195	Q9VHG6
Q9VXN9	Q9VFS8
Q9VN50	Q7KTA8
P17210	Q9VLT1
Q9VPI4	P19339
P16371	Q9VFM2
Q8IQG0	P48601
Q7K0L4	Q8IQG0
P11147	Q9VU81
Q9VH48	P13468
Q9VW34	P19339
P08736	Q9VZM9
P08736	Q9W053
P11147	Q8IRH9
Q9VS60	Q9V345
Q9VRS2	P00528
P18168	Q9VNR2
Q9VZV5	Q9V345
P00528	Q86B87
Q9VFS8	Q9VXB8
Q9VYC7	Q94899
P19339	Q9W579
Q9Y1A7	P19339
Q9VH48	A1ZAC8
P20439	P19339
Q9U6Y9	P19339
Q9VFF0	P19339
Q9W1X4	P19339
Q24151	P19339
Q960H6	P19339
Q9VBQ9	P19339
Q9VK31	P19339
O96860	P19339
Q9VTU4	P19339
Q9VK57	P19339
Q7JR96	P19339
Q9VTU9	P19339
Q8SXC2	P19339
Q9VWQ2	P19339
O18640	P19339
Q9VJ97	P19339
Q9VDV3	P19339
P17276	P19339
146089	P19339
Q9XZ53	P19339
Q9VXP3	P19339
Q9V3U6	P19339
P29742	P19339
Q9W116	P19339
Q24560	P19339
Q9W2H8	P19339
P19339	Q9VFL8
Q9VFN5	P19339
Q9VFN9	P19339
O18640	Q9VDC1
P17210	Q9VDC1
P11147	Q9VLG9
Q9V407	Q868Z9
P11147	Q24216
P84040	Q9VUY6
A8MZR2	Q9W0P4
Q24562	Q94535
Q9VN50	Q9VFF6
Q9W255	P00528
Q7KM15	Q9V345
Q9V9N9	P00528
Q9VPB0	P05205
Q9VLC0	Q9V345
Q08012	Q9W424
Q9VFS8	83112
Q9VKQ3	Q9W115
P00528	Q8SZ28
P08736	Q9W3Z5
P11147	Q9W5G1
Q23985	P00528
Q9V9J3	Q23985
Q9VEN1	P40301
Q05856	Q9VEN5
Q05856	Q9W3X9
Q9VEP0	O18640
Q9VDS4	Q05856
P29845	Q9VXR1
Q9VQM2	P29310
O18640	Q9VK46
P02828	Q9W1K2
P02828	Q9VH37
P02828	A1ZBU9
P02828	Q9V3E9
P02828	Q9VWG1
P02828	Q9VWD1
P02828	Q9W2X3
P02828	Q8IPB2
P02828	Q9XZ10
P02828	P48603
P02828	Q9VIY9
P02828	Q9VPN5
P02828	A1Z6M6
P02828	Q9V4B8
P02828	Q9VR29
P02828	Q9VYC7
P02828	Q9VT19
P02828	Q9NK80
P02828	Q9VGJ8
Q9VX37	P02828
P11147	162940
P11147	Q9VLI5
Q9VLI5	P08736
Q9V3G9	P46461
Q9V3G9	P31007
Q9V3G9	P05303
Q9V3G9	Q7K0L4
Q9V3G9	P08736
Q9V3G9	Q9VXE0
Q9VI10	Q9VKN5
Q24297	Q9VI10
Q9VRT7	Q9VI10
Q9VLQ9	Q9VI10
Q9W4Y8	Q9VH48
Q9W4Y8	P00528
Q7K0L4	Q9VFP2
Q9VRI1	P40417
P40417	O97061
Q9VE37	P40417
Q9VCZ8	Q9VR57
Q9V345	Q9VN78
P02825	Q9VZF9
Q7KN62	Q9VFD9
Q9V3G1	P29310
P29310	R4I077
139618	P13678
